"Year","Month","Ranking","Title","Artist","Spotify Link"
"2000","Maio","8","Be with You","Enrique Iglesias","https://open.spotify.com/track/3K9P"
"2000","Maio","9","Show Me the Meaning of Being Lonely","Backstreet Boys","https://open.spotify.com/track/7K2M"
"2000","Maio","10","Smooth","Santana feat. Rob Thomas","https://open.spotify.com/track/0n2SEXB2qoRQg171q7XJ"
"2000","Junho","1","Maria Maria","Santana feat. The Product G&B","https://open.spotify.com/track/3X9P"
"2000","Junho","2","Try Again","Aaliyah","https://open.spotify.com/track/5T9P"
"2000","Junho","3","Be with You","Enrique Iglesias","https://open.spotify.com/track/3K9P"
"2000","Junho","4","Thong Song","Sisqó","https://open.spotify.com/track/2M9P"
"2000","Junho","5","Everything You Want","Vertical Horizon","https://open.spotify.com/track/5P9Q"
"2000","Junho","6","I Try","Macy Gray","https://open.spotify.com/track/4J8K"
"2000","Junho","7","Say My Name","Destiny’s Child","https://open.spotify.com/track/7H6M"
"2000","Junho","8","Bye Bye Bye","*NSYNC","https://open.spotify.com/track/6P8M"
"2000","Junho","9","The Real Slim Shady","Eminem","https://open.spotify.com/track/3yFQ"
"2000","Junho","10","Bent","Matchbox Twenty","https://open.spotify.com/track/7M9P"
"2000","Julho","1","Be with You","Enrique Iglesias","https://open.spotify.com/track/3K9P"
"2000","Julho","2","Try Again","Aaliyah","https://open.spotify.com/track/5T9P"
"2000","Julho","3","Everything You Want","Vertical Horizon","https://open.spotify.com/track/5P9Q"
"2000","Julho","4","Bent","Matchbox Twenty","https://open.spotify.com/track/7M9P"
"2000","Julho","5","It’s Gonna Be Me","*NSYNC","https://open.spotify.com/track/6Q9P"
"2000","Julho","6","The Real Slim Shady","Eminem","https://open.spotify.com/track/3yFQ"
"2000","Julho","7","Maria Maria","Santana feat. The Product G&B","https://open.spotify.com/track/3X9P"
"2000","Julho","8","Thong Song","Sisqó","https://open.spotify.com/track/2M9P"
"2000","Julho","9","I Wanna Know","Joe","https://open.spotify.com/track/4P9Q"
"2000","Julho","10","Jumpin’, Jumpin’","Destiny’s Child","https://open.spotify.com/track/5R9P"
"2000","Agosto","1","It’s Gonna Be Me","*NSYNC","https://open.spotify.com/track/6Q9P"
"2000","Agosto","2","Bent","Matchbox Twenty","https://open.spotify.com/track/7M9P"
"2000","Agosto","3","Incomplete","Sisqó","https://open.spotify.com/track/2P9Q"
"2000","Agosto","4","Try Again","Aaliyah","https://open.spotify.com/track/5T9P"
"2000","Agosto","5","Everything You Want","Vertical Horizon","https://open.spotify.com/track/5P9Q"
"2000","Agosto","6","I Wanna Know","Joe","https://open.spotify.com/track/4P9Q"
"2000","Agosto","7","The Real Slim Shady","Eminem","https://open.spotify.com/track/3yFQ"
"2000","Agosto","8","Jumpin’, Jumpin’","Destiny’s Child","https://open.spotify.com/track/5R9P"
"2000","Agosto","9","Be with You","Enrique Iglesias","https://open.spotify.com/track/3K9P"
"2000","Agosto","10","Doesn’t Really Matter","Janet Jackson","https://open.spotify.com/track/6T9P"
"2000","Setembro","1","Doesn’t Really Matter","Janet Jackson","https://open.spotify.com/track/6T9P"
"2000","Setembro","2","Incomplete","Sisqó","https://open.spotify.com/track/2P9Q"
"2000","Setembro","3","Music","Madonna","https://open.spotify.com/track/7N9P"
"2000","Setembro","4","Bent","Matchbox Twenty","https://open.spotify.com/track/7M9P"
"2000","Setembro","5","Jumpin’, Jumpin’","Destiny’s Child","https://open.spotify.com/track/5R9P"
"2000","Setembro","6","It’s Gonna Be Me","*NSYNC","https://open.spotify.com/track/6Q9P"
"2000","Setembro","7","I Wanna Know","Joe","https://open.spotify.com/track/4P9Q"
"2000","Setembro","8","The Real Slim Shady","Eminem","https://open.spotify.com/track/3yFQ"
"2000","Setembro","9","Try Again","Aaliyah","https://open.spotify.com/track/5T9P"
"2000","Setembro","10","No More","Ruff Endz","https://open.spotify.com/track/8P9Q"
"2000","Outubro","1","Music","Madonna","https://open.spotify.com/track/7N9P"
"2000","Outubro","2","Come on Over Baby (All I Want Is You)","Christina Aguilera","https://open.spotify.com/track/4T9P"
"2000","Outubro","3","Doesn’t Really Matter","Janet Jackson","https://open.spotify.com/track/6T9P"
"2000","Outubro","4","Incomplete","Sisqó","https://open.spotify.com/track/2P9Q"
"2000","Outubro","5","Jumpin’, Jumpin’","Destiny’s Child","https://open.spotify.com/track/5R9P"
"2000","Outubro","6","Bent","Matchbox Twenty","https://open.spotify.com/track/7M9P"
"2000","Outubro","7","Most Girls","P!nk","https://open.spotify.com/track/9P9Q"
"2000","Outubro","8","I Wanna Know","Joe","https://open.spotify.com/track/4P9Q"
"2000","Outubro","9","With Arms Wide Open","Creed","https://open.spotify.com/track/3T9P"
"2000","Outubro","10","The Real Slim Shady","Eminem","https://open.spotify.com/track/3yFQ"
"2000","Novembro","1","Come on Over Baby (All I Want Is You)","Christina Aguilera","https://open.spotify.com/track/4T9P"
"2000","Novembro","2","Music","Madonna","https://open.spotify.com/track/7N9P"
"2000","Novembro","3","Independent Women Part I","Destiny’s Child","https://open.spotify.com/track/5U9P"
"2000","Novembro","4","With Arms Wide Open","Creed","https://open.spotify.com/track/3T9P"
"2000","Novembro","5","Doesn’t Really Matter","Janet Jackson","https://open.spotify.com/track/6T9P"
"2000","Novembro","6","Most Girls","P!nk","https://open.spotify.com/track/9P9Q"
"2000","Novembro","7","Incomplete","Sisqó","https://open.spotify.com/track/2P9Q"
"2000","Novembro","8","Case of the Ex (Whatcha Gonna Do)","Mýa","https://open.spotify.com/track/6U9P"
"2000","Novembro","9","Jumpin’, Jumpin’","Destiny’s Child","https://open.spotify.com/track/5R9P"
"2000","Novembro","10","Kryptonite","3 Doors Down","https://open.spotify.com/track/7P9Q"
"2000","Dezembro","1","Independent Women Part I","Destiny’s Child","https://open.spotify.com/track/5U9P"
"2000","Dezembro","2","Case of the Ex (Whatcha Gonna Do)","Mýa","https://open.spotify.com/track/6U9P"
"2000","Dezembro","3","With Arms Wide Open","Creed","https://open.spotify.com/track/3T9P"
"2000","Dezembro","4","Come on Over Baby (All I Want Is You)","Christina Aguilera","https://open.spotify.com/track/4T9P"
"2000","Dezembro","5","Music","Madonna","https://open.spotify.com/track/7N9P"
"2000","Dezembro","6","Most Girls","P!nk","https://open.spotify.com/track/9P9Q"
"2000","Dezembro","7","Doesn’t Really Matter","Janet Jackson","https://open.spotify.com/track/6T9P"
"2000","Dezembro","8","He Loves U Not","Dream","https://open.spotify.com/track/8T9P"
"2000","Dezembro","9","Kryptonite","3 Doors Down","https://open.spotify.com/track/7P9Q"
"2000","Dezembro","10","Gotta Tell You","Samantha Mumba","https://open.spotify.com/track/2R9P"
"2001","Janeiro","1","Independent Women Part I","Destiny’s Child","https://open.spotify.com/track/5U9P"
"2001","Janeiro","2","It Wasn’t Me","Shaggy feat. Ricardo “RikRok” Ducent","https://open.spotify.com/track/9T9P"
"2001","Janeiro","3","He Loves U Not","Dream","https://open.spotify.com/track/8T9P"
"2001","Janeiro","4","Case of the Ex (Whatcha Gonna Do)","Mýa","https://open.spotify.com/track/6U9P"
"2001","Janeiro","5","With Arms Wide Open","Creed","https://open.spotify.com/track/3T9P"
"2001","Janeiro","6","Love Don’t Cost a Thing","Jennifer Lopez","https://open.spotify.com/track/4P9P"
"2001","Janeiro","7","Ms. Jackson","OutKast","https://open.spotify.com/track/5W9P"
"2001","Janeiro","8","If You’re Gone","Matchbox Twenty","https://open.spotify.com/track/6R9P"
"2001","Janeiro","9","Again","Lenny Kravitz","https://open.spotify.com/track/7T9P"
"2001","Janeiro","10","Kryptonite","3 Doors Down","https://open.spotify.com/track/7P9Q"
"2001","Fevereiro","1","It Wasn’t Me","Shaggy feat. Ricardo “RikRok” Ducent","https://open.spotify.com/track/9T9P"
"2001","Fevereiro","2","Ms. Jackson","OutKast","https://open.spotify.com/track/5W9P"
"2001","Fevereiro","3","Independent Women Part I","Destiny’s Child","https://open.spotify.com/track/5U9P"
"2001","Fevereiro","4","Love Don’t Cost a Thing","Jennifer Lopez","https://open.spotify.com/track/4P9P"
"2001","Fevereiro","5","Stutter","Joe feat. Mystikal","https://open.spotify.com/track/3U9P"
"2001","Fevereiro","6","Again","Lenny Kravitz","https://open.spotify.com/track/7T9P"
"2001","Fevereiro","7","He Loves U Not","Dream","https://open.spotify.com/track/8T9P"
"2001","Fevereiro","8","Case of the Ex (Whatcha Gonna Do)","Mýa","https://open.spotify.com/track/6U9P"
"2001","Fevereiro","9","If You’re Gone","Matchbox Twenty","https://open.spotify.com/track/6R9P"
"2001","Fevereiro","10","Don’t Tell Me","Madonna","https://open.spotify.com/track/2W9P"
"2001","Março","1","Stutter","Joe feat. Mystikal","https://open.spotify.com/track/3U9P"
"2001","Março","2","It Wasn’t Me","Shaggy feat. Ricardo “RikRok” Ducent","https://open.spotify.com/track/9T9P"
"2001","Março","3","Butterfly","Crazy Town","https://open.spotify.com/track/4W9P"
"2001","Março","4","Angel","Shaggy feat. Rayvon","https://open.spotify.com/track/5X9P"
"2001","Março","5","Ms. Jackson","OutKast","https://open.spotify.com/track/5W9P"
"2001","Março","6","Love Don’t Cost a Thing","Jennifer Lopez","https://open.spotify.com/track/4P9P"
"2001","Março","7","Again","Lenny Kravitz","https://open.spotify.com/track/7T9P"
"2001","Março","8","Promise","Jagged Edge","https://open.spotify.com/track/8W9P"
"2001","Março","9","Independent Women Part I","Destiny’s Child","https://open.spotify.com/track/5U9P"
"2001","Março","10","Don’t Tell Me","Madonna","https://open.spotify.com/track/2W9P"
"2001","Abril","1","Angel","Shaggy feat. Rayvon","https://open.spotify.com/track/5X9P"
"2001","Abril","2","Butterfly","Crazy Town","https://open.spotify.com/track/4W9P"
"2001","Abril","3","All for You","Janet Jackson","https://open.spotify.com/track/6Y9P"
"2001","Abril","4","Stutter","Joe feat. Mystikal","https://open.spotify.com/track/3U9P"
"2001","Abril","5","It Wasn’t Me","Shaggy feat. Ricardo “RikRok” Ducent","https://open.spotify.com/track/9T9P"
"2001","Abril","6","Survivor","Destiny’s Child","https://open.spotify.com/track/7Y9P"
"2001","Abril","7","Ms. Jackson","OutKast","https://open.spotify.com/track/5W9P"
"2001","Abril","8","Love Don’t Cost a Thing","Jennifer Lopez","https://open.spotify.com/track/4P9P"
"2001","Abril","9","Thank You","Dido","https://open.spotify.com/track/1T9P"
"2001","Abril","10","Promise","Jagged Edge","https://open.spotify.com/track/8W9P"
"2001","Maio","1","All for You","Janet Jackson","https://open.spotify.com/track/6Y9P"
"2001","Maio","2","Survivor","Destiny’s Child","https://open.spotify.com/track/7Y9P"
"2001","Maio","3","Angel","Shaggy feat. Rayvon","https://open.spotify.com/track/5X9P"
"2001","Maio","4","Lady Marmalade","Christina Aguilera, Lil’ Kim, Mýa & P!nk","https://open.spotify.com/track/2Y9P"
"2001","Maio","5","Butterfly","Crazy Town","https://open.spotify.com/track/4W9P"
"2001","Maio","6","Thank You","Dido","https://open.spotify.com/track/1T9P"
"2001","Maio","7","Stutter","Joe feat. Mystikal","https://open.spotify.com/track/3U9P"
"2001","Maio","8","Ride wit Me","Nelly feat. City Spud","https://open.spotify.com/track/9U9P"
"2001","Maio","9","Hanging by a Moment","Lifehouse","https://open.spotify.com/track/0W9P"
"2001","Maio","10","Follow Me","Uncle Kracker","https://open.spotify.com/track/3V9P"
"2001","Junho","1","Lady Marmalade","Christina Aguilera, Lil’ Kim, Mýa & P!nk","https://open.spotify.com/track/2Y9P"
"2001","Junho","2","All for You","Janet Jackson","https://open.spotify.com/track/6Y9P"
"2001","Junho","3","Survivor","Destiny’s Child","https://open.spotify.com/track/7Y9P"
"2001","Junho","4","Hanging by a Moment","Lifehouse","https://open.spotify.com/track/0W9P"
"2001","Junho","5","Ride wit Me","Nelly feat. City Spud","https://open.spotify.com/track/9U9P"
"2001","Junho","6","Follow Me","Uncle Kracker","https://open.spotify.com/track/3V9P"
"2001","Junho","7","Angel","Shaggy feat. Rayvon","https://open.spotify.com/track/5X9P"
"2001","Junho","8","Thank You","Dido","https://open.spotify.com/track/1T9P"
"2001","Junho","9","What Would You Do?","City High","https://open.spotify.com/track/4X9P"
"2001","Junho","10","Butterfly","Crazy Town","https://open.spotify.com/track/4W9P"
"2001","Julho","1","U Remind Me","Usher","https://open.spotify.com/track/5Z9P"
"2001","Julho","2","Lady Marmalade","Christina Aguilera, Lil’ Kim, Mýa & P!nk","https://open.spotify.com/track/2Y9P"
"2001","Julho","3","Hanging by a Moment","Lifehouse","https://open.spotify.com/track/0W9P"
"2001","Julho","4","Ride wit Me","Nelly feat. City Spud","https://open.spotify.com/track/9U9P"
"2001","Julho","5","Follow Me","Uncle Kracker","https://open.spotify.com/track/3V9P"
"2001","Julho","6","All for You","Janet Jackson","https://open.spotify.com/track/6Y9P"
"2001","Julho","7","Bootylicious","Destiny’s Child","https://open.spotify.com/track/8Y9P"
"2001","Julho","8","Survivor","Destiny’s Child","https://open.spotify.com/track/7Y9P"
"2001","Julho","9","What Would You Do?","City High","https://open.spotify.com/track/4X9P"
"2001","Julho","10","Drops of Jupiter (Tell Me)","Train","https://open.spotify.com/track/2W9P"
"2001","Agosto","1","Bootylicious","Destiny’s Child","https://open.spotify.com/track/8Y9P"
"2001","Agosto","2","Fallin’","Alicia Keys","https://open.spotify.com/track/0X9P"
"2001","Agosto","3","U Remind Me","Usher","https://open.spotify.com/track/5Z9P"
"2001","Agosto","4","Hanging by a Moment","Lifehouse","https://open.spotify.com/track/0W9P"
"2001","Agosto","5","Ride wit Me","Nelly feat. City Spud","https://open.spotify.com/track/9U9P"
"2001","Agosto","6","Follow Me","Uncle Kracker","https://open.spotify.com/track/3V9P"
"2001","Agosto","7","Let Me Blow Ya Mind","Eve feat. Gwen Stefani","https://open.spotify.com/track/6Z9P"
"2001","Agosto","8","Drops of Jupiter (Tell Me)","Train","https://open.spotify.com/track/2W9P"
"2001","Agosto","9","Lady Marmalade","Christina Aguilera, Lil’ Kim, Mýa & P!nk","https://open.spotify.com/track/2Y9P"
"2001","Agosto","10","Hit ’Em Up Style (Oops!)","Blu Cantrell","https://open.spotify.com/track/7X9P"
"2001","Setembro","1","Fallin’","Alicia Keys","https://open.spotify.com/track/0X9P"
"2001","Setembro","2","I’m Real (Murder Remix)","Jennifer Lopez feat. Ja Rule","https://open.spotify.com/track/1Y9P"
"2001","Setembro","3","Bootylicious","Destiny’s Child","https://open.spotify.com/track/8Y9P"
"2001","Setembro","4","U Remind Me","Usher","https://open.spotify.com/track/5Z9P"
"2001","Setembro","5","Let Me Blow Ya Mind","Eve feat. Gwen Stefani","https://open.spotify.com/track/6Z9P"
"2001","Setembro","6","Hanging by a Moment","Lifehouse","https://open.spotify.com/track/0W9P"
"2001","Setembro","7","Hit ’Em Up Style (Oops!)","Blu Cantrell","https://open.spotify.com/track/7X9P"
"2001","Setembro","8","Drops of Jupiter (Tell Me)","Train","https://open.spotify.com/track/2W9P"
"2001","Setembro","9","Ride wit Me","Nelly feat. City Spud","https://open.spotify.com/track/9U9P"
"2001","Setembro","10","Where the Party At","Jagged Edge feat. Nelly","https://open.spotify.com/track/3Z9P"
"2001","Outubro","1","Fallin’","Alicia Keys","https://open.spotify.com/track/0X9P"
"2001","Outubro","2","I’m Real (Murder Remix)","Jennifer Lopez feat. Ja Rule","https://open.spotify.com/track/1Y9P"
"2001","Outubro","3","Family Affair","Mary J. Blige","https://open.spotify.com/track/9Z9P"
"2001","Outubro","4","Let Me Blow Ya Mind","Eve feat. Gwen Stefani","https://open.spotify.com/track/6Z9P"
"2001","Outubro","5","Hit ’Em Up Style (Oops!)","Blu Cantrell","https://open.spotify.com/track/7X9P"
"2001","Outubro","6","U Remind Me","Usher","https://open.spotify.com/track/5Z9P"
"2001","Outubro","7","Where the Party At","Jagged Edge feat. Nelly","https://open.spotify.com/track/3Z9P"
"2001","Outubro","8","Bootylicious","Destiny’s Child","https://open.spotify.com/track/8Y9P"
"2001","Outubro","9","Drops of Jupiter (Tell Me)","Train","https://open.spotify.com/track/2W9P"
"2001","Outubro","10","Hanging by a Moment","Lifehouse","https://open.spotify.com/track/0W9P"
"2001","Novembro","1","Family Affair","Mary J. Blige","https://open.spotify.com/track/9Z9P"
"2001","Novembro","2","I’m Real (Murder Remix)","Jennifer Lopez feat. Ja Rule","https://open.spotify.com/track/1Y9P"
"2001","Novembro","3","Fallin’","Alicia Keys","https://open.spotify.com/track/0X9P"
"2001","Novembro","4","How You Remind Me","Nickelback","https://open.spotify.com/track/4A9P"
"2001","Novembro","5","U Got It Bad","Usher","https://open.spotify.com/track/5A9P"
"2001","Novembro","6","Let Me Blow Ya Mind","Eve feat. Gwen Stefani","https://open.spotify.com/track/6Z9P"
"2001","Novembro","7","Where the Party At","Jagged Edge feat. Nelly","https://open.spotify.com/track/3Z9P"
"2001","Novembro","8","Hit ’Em Up Style (Oops!)","Blu Cantrell","https://open.spotify.com/track/7X9P"
"2001","Novembro","9","Turn Off the Light","Nelly Furtado","https://open.spotify.com/track/2A9P"
"2001","Novembro","10","Drops of Jupiter (Tell Me)","Train","https://open.spotify.com/track/2W9P"
"2001","Dezembro","1","How You Remind Me","Nickelback","https://open.spotify.com/track/4A9P"
"2001","Dezembro","2","Family Affair","Mary J. Blige","https://open.spotify.com/track/9Z9P"
"2001","Dezembro","3","U Got It Bad","Usher","https://open.spotify.com/track/5A9P"
"2001","Dezembro","4","I’m Real (Murder Remix)","Jennifer Lopez feat. Ja Rule","https://open.spotify.com/track/1Y9P"
"2001","Dezembro","5","Fallin’","Alicia Keys","https://open.spotify.com/track/0X9P"
"2001","Dezembro","6","Always on Time","Ja Rule feat. Ashanti","https://open.spotify.com/track/6B9P"
"2001","Dezembro","7","Where the Party At","Jagged Edge feat. Nelly","https://open.spotify.com/track/3Z9P"
"2001","Dezembro","8","Let Me Blow Ya Mind","Eve feat. Gwen Stefani","https://open.spotify.com/track/6Z9P"
"2001","Dezembro","9","Differences","Ginuwine","https://open.spotify.com/track/7B9P"
"2001","Dezembro","10","Turn Off the Light","Nelly Furtado","https://open.spotify.com/track/2A9P"
"2002","Janeiro","1","How You Remind Me","Nickelback","https://open.spotify.com/track/4A9P"
"2002","Janeiro","2","U Got It Bad","Usher","https://open.spotify.com/track/5A9P"
"2002","Janeiro","3","Always on Time","Ja Rule feat. Ashanti","https://open.spotify.com/track/6B9P"
"2002","Janeiro","4","Family Affair","Mary J. Blige","https://open.spotify.com/track/9Z9P"
"2002","Janeiro","5","Get the Party Started","P!nk","https://open.spotify.com/track/7D9P"
"2002","Janeiro","6","My Sacrifice","Creed","https://open.spotify.com/track/3C9P"
"2002","Janeiro","7","Ain’t It Funny","Jennifer Lopez feat. Ja Rule","https://open.spotify.com/track/2X9P"
"2002","Janeiro","8","In the End","Linkin Park","https://open.spotify.com/track/6W9P"
"2002","Janeiro","9","Whenever, Wherever","Shakira","https://open.spotify.com/track/4Y9P"
"2002","Janeiro","10","Hero","Enrique Iglesias","https://open.spotify.com/track/1T9P"
"2002","Fevereiro","1","U Got It Bad","Usher","https://open.spotify.com/track/5A9P"
"2002","Fevereiro","2","How You Remind Me","Nickelback","https://open.spotify.com/track/4A9P"
"2002","Fevereiro","3","Always on Time","Ja Rule feat. Ashanti","https://open.spotify.com/track/6B9P"
"2002","Fevereiro","4","Ain’t It Funny","Jennifer Lopez feat. Ja Rule","https://open.spotify.com/track/2X9P"
"2002","Fevereiro","5","In the End","Linkin Park","https://open.spotify.com/track/6W9P"
"2002","Fevereiro","6","Get the Party Started","P!nk","https://open.spotify.com/track/7D9P"
"2002","Fevereiro","7","Whenever, Wherever","Shakira","https://open.spotify.com/track/4Y9P"
"2002","Fevereiro","8","My Sacrifice","Creed","https://open.spotify.com/track/3C9P"
"2002","Fevereiro","9","Family Affair","Mary J. Blige","https://open.spotify.com/track/9Z9P"
"2002","Fevereiro","10","Hey Baby","No Doubt feat. Bounty Killer","https://open.spotify.com/track/8U9P"
"2002","Março","1","Ain’t It Funny","Jennifer Lopez feat. Ja Rule","https://open.spotify.com/track/2X9P"
"2002","Março","2","Always on Time","Ja Rule feat. Ashanti","https://open.spotify.com/track/6B9P"
"2002","Março","3","How You Remind Me","Nickelback","https://open.spotify.com/track/4A9P"
"2002","Março","4","In the End","Linkin Park","https://open.spotify.com/track/6W9P"
"2002","Março","5","U Got It Bad","Usher","https://open.spotify.com/track/5A9P"
"2002","Março","6","Whenever, Wherever","Shakira","https://open.spotify.com/track/4Y9P"
"2002","Março","7","Get the Party Started","P!nk","https://open.spotify.com/track/7D9P"
"2002","Março","8","Hey Baby","No Doubt feat. Bounty Killer","https://open.spotify.com/track/8U9P"
"2002","Março","9","What About Us?","Brandy","https://open.spotify.com/track/9T9P"
"2002","Março","10","Blurry","Puddle of Mudd","https://open.spotify.com/track/5V9P"
"2002","Abril","1","Ain’t It Funny","Jennifer Lopez feat. Ja Rule","https://open.spotify.com/track/2X9P"
"2002","Abril","2","Foolish","Ashanti","https://open.spotify.com/track/3W9P"
"2002","Abril","3","In the End","Linkin Park","https://open.spotify.com/track/6W9P"
"2002","Abril","4","How You Remind Me","Nickelback","https://open.spotify.com/track/4A9P"
"2002","Abril","5","Whenever, Wherever","Shakira","https://open.spotify.com/track/4Y9P"
"2002","Abril","6","What’s Luv?","Fat Joe feat. Ashanti","https://open.spotify.com/track/1U9P"
"2002","Abril","7","U Got It Bad","Usher","https://open.spotify.com/track/5A9P"
"2002","Abril","8","Blurry","Puddle of Mudd","https://open.spotify.com/track/5V9P"
"2002","Abril","9","Get the Party Started","P!nk","https://open.spotify.com/track/7D9P"
"2002","Abril","10","Hey Baby","No Doubt feat. Bounty Killer","https://open.spotify.com/track/8U9P"
"2002","Maio","1","Foolish","Ashanti","https://open.spotify.com/track/3W9P"
"2002","Maio","2","What’s Luv?","Fat Joe feat. Ashanti","https://open.spotify.com/track/1U9P"
"2002","Maio","3","Ain’t It Funny","Jennifer Lopez feat. Ja Rule","https://open.spotify.com/track/2X9P"
"2002","Maio","4","I Need a Girl (Part One)","P. Diddy feat. Usher & Loon","https://open.spotify.com/track/4Z9P"
"2002","Maio","5","U Don’t Have to Call","Usher","https://open.spotify.com/track/6X9P"
"2002","Maio","6","In the End","Linkin Park","https://open.spotify.com/track/6W9P"
"2002","Maio","7","How You Remind Me","Nickelback","https://open.spotify.com/track/4A9P"
"2002","Maio","8","Blurry","Puddle of Mudd","https://open.spotify.com/track/5V9P"
"2002","Maio","9","Whenever, Wherever","Shakira","https://open.spotify.com/track/4Y9P"
"2002","Maio","10","A Thousand Miles","Vanessa Carlton","https://open.spotify.com/track/7Y9P"
"2002","Junho","1","Foolish","Ashanti","https://open.spotify.com/track/3W9P"
"2002","Junho","2","Hot in Herre","Nelly","https://open.spotify.com/track/9W9P"
"2002","Junho","3","I Need a Girl (Part One)","P. Diddy feat. Usher & Loon","https://open.spotify.com/track/4Z9P"
"2002","Junho","4","What’s Luv?","Fat Joe feat. Ashanti","https://open.spotify.com/track/1U9P"
"2002","Junho","5","Without Me","Eminem","https://open.spotify.com/track/7lQ8M"
"2002","Junho","6","A Thousand Miles","Vanessa Carlton","https://open.spotify.com/track/7Y9P"
"2002","Junho","7","U Don’t Have to Call","Usher","https://open.spotify.com/track/6X9P"
"2002","Junho","8","The Middle","Jimmy Eat World","https://open.spotify.com/track/2T9P"
"2002","Junho","9","Blurry","Puddle of Mudd","https://open.spotify.com/track/5V9P"
"2002","Junho","10","In the End","Linkin Park","https://open.spotify.com/track/6W9P"
"2002","Julho","1","Hot in Herre","Nelly","https://open.spotify.com/track/9W9P"
"2002","Julho","2","Without Me","Eminem","https://open.spotify.com/track/7lQ8M"
"2002","Julho","3","Foolish","Ashanti","https://open.spotify.com/track/3W9P"
"2002","Julho","4","I Need a Girl (Part One)","P. Diddy feat. Usher & Loon","https://open.spotify.com/track/4Z9P"
"2002","Julho","5","A Thousand Miles","Vanessa Carlton","https://open.spotify.com/track/7Y9P"
"2002","Julho","6","The Middle","Jimmy Eat World","https://open.spotify.com/track/2T9P"
"2002","Julho","7","What’s Luv?","Fat Joe feat. Ashanti","https://open.spotify.com/track/1U9P"
"2002","Julho","8","Hero","Chad Kroeger feat. Josey Scott","https://open.spotify.com/track/8X9P"
"2002","Julho","9","U Don’t Have to Call","Usher","https://open.spotify.com/track/6X9P"
"2002","Julho","10","Oh Boy","Cam’ron feat. Juelz Santana","https://open.spotify.com/track/5N9P"
"2002","Agosto","1","Hot in Herre","Nelly","https://open.spotify.com/track/9W9P"
"2002","Agosto","2","Dilemma","Nelly feat. Kelly Rowland","https://open.spotify.com/track/0X9P"
"2002","Agosto","3","Without Me","Eminem","https://open.spotify.com/track/7lQ8M"
"2002","Agosto","4","Foolish","Ashanti","https://open.spotify.com/track/3W9P"
"2002","Agosto","5","I Need a Girl (Part Two)","P. Diddy & Ginuwine feat. Loon, Mario Winans & Tammy Ruggieri","https://open.spotify.com/track/1Y9P"
"2002","Agosto","6","A Thousand Miles","Vanessa Carlton","https://open.spotify.com/track/7Y9P"
"2002","Agosto","7","The Middle","Jimmy Eat World","https://open.spotify.com/track/2T9P"
"2002","Agosto","8","Just Like a Pill","P!nk","https://open.spotify.com/track/6U9P"
"2002","Agosto","9","Hero","Chad Kroeger feat. Josey Scott","https://open.spotify.com/track/8X9P"
"2002","Agosto","10","Complicated","Avril Lavigne","https://open.spotify.com/track/4W9P"
"2002","Setembro","1","Dilemma","Nelly feat. Kelly Rowland","https://open.spotify.com/track/0X9P"
"2002","Setembro","2","Hot in Herre","Nelly","https://open.spotify.com/track/9W9P"
"2002","Setembro","3","I Need a Girl (Part Two)","P. Diddy & Ginuwine feat. Loon, Mario Winans & Tammy Ruggieri","https://open.spotify.com/track/1Y9P"
"2002","Setembro","4","Without Me","Eminem","https://open.spotify.com/track/7lQ8M"
"2002","Setembro","5","Complicated","Avril Lavigne","https://open.spotify.com/track/4W9P"
"2002","Setembro","6","Just Like a Pill","P!nk","https://open.spotify.com/track/6U9P"
"2002","Setembro","7","Foolish","Ashanti","https://open.spotify.com/track/3W9P"
"2002","Setembro","8","A Thousand Miles","Vanessa Carlton","https://open.spotify.com/track/7Y9P"
"2002","Setembro","9","Gangsta Lovin’","Eve feat. Alicia Keys","https://open.spotify.com/track/2Z9P"
"2002","Setembro","10","The Middle","Jimmy Eat World","https://open.spotify.com/track/2T9P"
"2002","Outubro","1","Dilemma","Nelly feat. Kelly Rowland","https://open.spotify.com/track/0X9P"
"2002","Outubro","2","A Moment Like This","Kelly Clarkson","https://open.spotify.com/track/3X9P"
"2002","Outubro","3","Complicated","Avril Lavigne","https://open.spotify.com/track/4W9P"
"2002","Outubro","4","Hot in Herre","Nelly","https://open.spotify.com/track/9W9P"
"2002","Outubro","5","I Need a Girl (Part Two)","P. Diddy & Ginuwine feat. Loon, Mario Winans & Tammy Ruggieri","https://open.spotify.com/track/1Y9P"
"2002","Outubro","6","Gangsta Lovin’","Eve feat. Alicia Keys","https://open.spotify.com/track/2Z9P"
"2002","Outubro","7","Just Like a Pill","P!nk","https://open.spotify.com/track/6U9P"
"2002","Outubro","8","Lose Yourself","Eminem","https://open.spotify.com/track/5Z9P"
"2002","Outubro","9","Sk8er Boi","Avril Lavigne","https://open.spotify.com/track/7W9P"
"2002","Outubro","10","Underneath It All","No Doubt feat. Lady Saw","https://open.spotify.com/track/8Z9P"
"2002","Novembro","1","Lose Yourself","Eminem","https://open.spotify.com/track/5Z9P"
"2002","Novembro","2","Dilemma","Nelly feat. Kelly Rowland","https://open.spotify.com/track/0X9P"
"2002","Novembro","3","Work It","Missy Elliott","https://open.spotify.com/track/9U9P"
"2002","Novembro","4","A Moment Like This","Kelly Clarkson","https://open.spotify.com/track/3X9P"
"2002","Novembro","5","Complicated","Avril Lavigne","https://open.spotify.com/track/4W9P"
